artist,total_plays
James Blake,46
Mamamoo,46
Rahsaan Patterson,46
Vikström,46
The xx,46
The Marshall Tucker Band,46
Kodak Black,46
AJ Mitchell,46
Joss Stone,46
Smokepurpp,46
Fickle Friends,46
White 2115,46
Hi-Five,46
Curbi,46
C. Tangana,46
Habstrakt,46
Twenty One Pilots,46
Martin Silence,46
Labrinth,45
Reda Rwena,45
The Smashing Pumpkins,45
PRETTYMUCH,45
A Flock Of Seagulls,45
Erick Morillo,45
Timeflies,45
Bad Suns,45
Saliva,45
ZHU,45
Danny Ocean,45
Rita Ora,45
Joey Bada$$,45
B.o.B,45
Manfred Mann's Earth Band,45
Genesis,45
Bolier,45
Ol' Dirty Bastard,45
Seeb,44
T.K. Soul,44
blackwave.,44
October Ends,44
Kevu,44
Jesse & Joy,44
Seven Kayne,44
Rich Homie Quan,44
Metro Boomin,44
Soundgarden,44
Cam’ron,44
Kansas,44
HELLYEAH,44
Pebbles,44
NOTD,44
Andery Toronto,44
Topic,44
Miguel Bosé,44
Mike Candys,44
Stan Kolev,44
Gareth Emery,44
Cream,44
Madison Mars,44
Fred De Palma,44
Billy Squier,43
Bryce Vine,43
Jay Sean,43
MC Hammer,43
Maddix,43
Starley,43
Auxxk,43
The Aces,43
Bart & Baker,43
Chayanne,43
Lil Peep,43
Remik Gonzalez,43
Vigiland,43
Burna Boy,43
Young Buck,43
Aventura,43
Skillet,43
Far East Movement,43
DJ DMD,43
Justin Quiles,43
Ringo Starr,43
Erlandsson,42
Thalía,42
Dfideliz,42
Confetti,42
Steve Lacy,42
tha Supreme,42
Carly Simon,42
Matt Simons,42
Theory of a Deadman,42
Manse,42
Placebo,42
HONNE,42
Chad Cooper,42
H-Town,42
Bruno Major,42
Mel Waiters,42
Nappy Roots,42
Lemaitre,42
Wink,42
Ralph,42
Foxa,42
Fred Hammond,42
Dave,42
OMI,42
Puddle Of Mudd,42
Grouplove,42
Chicago,41
Slipknot,41
Noah Cyrus,41
DrefQuila,41
"Drako ""El Principe""",41
Phos Toni,41
Pablo Alborán,41
Ryos,41
NGHTMRE,41
Glass Animals,41
In This Moment,41
BLACKPINK,41
Alejandro Sanz,41
Местный,41
Seinabo Sey,41
Hellberg,41
John Mellencamp,41
Moonchild,41
Carnage,41
chillwagon,41
Hozier,41
Swingrowers,41
Vampire Weekend,41
David Banner,41
The Pretty Reckless,41
Fetty Wap,41
Yung Felix,41
James Carter,41
Gusttavo Lima,40
boy pablo,40
Cabela and Schmitt,40
Machine Gun Kelly,40
El Alfa,40
De La Ghetto,40
SMO,40
Fuego,40
Jimmy Eat World,40
Sebastian Ingrosso,40
Elettra Lamborghini,40
Eladio Carrion,40
Carlos Baute,40
Elvis Crespo,40
DJ Screw & The Screwed Up Click,40
WC no Beat,40
RÜFÜS DU SOL,40
Oh Wonder,40
Kura,40
T-Pain,40
The Wanted,40
Alizzmatic,40
Caravan Palace,40
Nio Garcia,40
Kaan Pars,40
Fabolous,40
fun.,40
dodie,40
Marissa Mur,40
EDX,40
Camel,39
MZ,39
Architrackz,39
FRENSHIP,39
Kool Moe Dee,39
Digital Underground,39
EDEN,39
Los Angeles Azules,39
R5,39
R.E.M.,39
Deniz Koyu,39
Midel,39
Gavin James,39
Moguai,39
Mobb Deep,39
Amenazzy,39
Louis The Child,39
Franz Ferdinand,39
Fantasia,39
Leon Bridges,39
Andra Day,39
X Ambassadors,39
The Guess Who,39
Pop Evil,39
Man Overboard,39
Brent Faiyaz,39
Seryoga,39
UCLÃ,39
YBN Cordae,39
Nickelback,39
Jon Z,39
Bullet For My Valentine,39
Madison Beer,39
Mata,39
The Vamps,39
Lorde,39
Russ,39
Gary Numan,39
Dada Life,39
Lalo Ebratt,39
Bring Me The Horizon,39
Erasure,38
Möwe,38
24kGoldn,38
Interpol,38
Gorillaz,38
Funk Machine,38
Madonna,38
Volbeat,38
Critic City,38
Rim'K,38
Uriah Heep,38
Gang Starr,38
FMK,38
Jackson Browne,38
Blackcode,38
Kenny Lattimore,38
Ken Clayton,38
St. Viper,38
Jory Boy,38
The Hives,38
Aleman,38
Johnnie Taylor,38
Boy Untitled,38
Tamia,38
Alina Baraz,38
Cynthia Jones,38
Sultan + Shepard,38
Craig David,38
Adrianne Archie,38
Daniel Johnson,38
Levert,38
INXS,38
Red Velvet,38
Simple Plan,37
Boombox Cartel,37
Krept & Konan,37
All-4-One,37
Rival Sons,37
11 Acorn Lane,37
Harry Nilsson,37
Roosevelt,37
System Of A Down,37
Lykke Li,37
Haze,37
Lil Scrappy,37
Chocolate Puma,37
"Sarah, the Illstrumentalist",37
Mon Laferte,37
Nazareth,37
Rich Music LTD,37
The Shapeshifters,37
Fifth Harmony,37
SLANDER,37
Chuckii Booker,37
Breathe Carolina,37
NERVO,37
Trapt,37
Johnny O.,37
Niall Horan,37
Jamie Jones,37
Jamie Berry,37
1Kilo,37
Birdman,36
Soul For Real,36
Roddy Ricch,36
Rev Theory,36
Anitta,36
Roberto Marín Muñoz,36
Europe,36
Mario,36
Carmon,36
Tiziano Ferro,36
The.madpix.project,36
Dontcry,36
Alec Benjamin,36
FLETCHER,36
Lucy Pearl,36
Cazzu,36
bülow,36
iann dior,36
Shaun Frank,36
Lil' Flip,36
Litvinenko,36
House Of Pain,36
Offset,36
Orishas,36
Wolfpack,36
Dwin,36
The Electric Swing Circus,36
Yes,36
GZA,36
Stone Sour,36
Stevie B,36
Jess Glynne,36
Tears For Fears,36
Frank Mccomb,36
Seth Hills,36
DaBaby,36
The Bloody Beetroots,36
Blueface,36
Lou Reed,36
Jonny Joel,36
Nicki Nicole,36
Oliver Heldens,36
The Carters,36
Mos Def,35
Algebra Blessett,35
Jacquees,35
Roc DaGuard,35
Luis Miguel,35
Lee Fields & The Expressions,35
Coopex,35
Santana,35
XY&O,35
Ashanti,35
The Velvet Underground,35
The Whispers,35
Koen Groeneveld,35
Mike Jones,35
Dj Electrocimatic,35
Ciara,35
Soft Cell,35
SAYGRACE,35
Orgânico,35
Milonair,35
Bushido,35
The Colourist,35
Lil Keke,35
Love Canon,35
BAYNK,35
Sir Mix-A-Lot,35
New World Sound,35
Silvestre Dangond,35
Jowell & Randy,35
Julia Michaels,35
DJ Mibor,35
Felix Cartal,35
Spencer & Hill,35
for KING & COUNTRY,35
Black Stone Cherry,35
Lit Killah,35
Lisa Lisa & Cult Jam,35
MTK,34
Rhys Lewis,34
Vitão,34
Karan Aujla,34
Camila,34
Glades,34
Odd Chap,34
Meynberg,34
Calum Scott,34
Lenny Tavárez,34
Hidden Empire,34
Alex McArtor,34
Nao,34
Baby Rasta & Gringo,34
Sikander Kahlon,34
Simon & Garfunkel,34
VINAI,34
Vicente Garcia,34
Mauve,34
Struggle Jennings,34
Taz,34
Bad Wolves,34
Dimelo Flow,34
Jovem Dex,34
Sam Blans,34
Dan + Shay,34
Central Coast Clique,34
Musiko,34
Sabrina Carpenter,34
Toda la Vida,34
LEISURE,34
LIZOT,34
Petit Biscuit,34
NODE,34
Queens of the Stone Age,34
Mahalia,34
Epifania,34
JETFIRE,34
Portavoz,34
Micro Tdh,34
Fugees,34
Feid,34
Fatboy Slim,34
Avril Lavigne,34
Kim Petras,34
Duffy,33
Sofia Carson,33
Eraserheads,33
Big Pokey,33
Сережа Местный,33
TINI,33
Kenny Man,33
Train,33
De Jeugd Van Tegenwoordig,33
Freddy Moreira,33
Tropixx,33
Mike Hawkins,33
Zeds Dead,33
Flosstradamus,33
Nothing More,33
Riff,33
Men At Work,33
RetroVision,33
James Bay,33
Jason Mraz,33
Skid Row,33
Paula Abdul,33
Steve Angello,33
Tep No,33
Bob Dylan,33
Bryson Tiller,33
Sampha,33
Zuna,33
MC Igu,33
Luck Wallace,33
Ozi,33
Arrested Youth,33
Gorgon City,33
GRiZ,33
Grand Funk Railroad,33
Jasmine Ortiz,33
Warrant,33
Big Pun,33
Michael Mind,33
Shallou,33
Jody Watley,33
Years & Years,33
Frozen Plasma,33
Supertramp,33
Jack Ü,33
Blur,33
DREAMERS,33
A Tribe Called Quest,33
VNV Nation,33
Ericé,33
Lloyd,33
Pink Sweat$,32
flor,32
Justin Prime,32
gnash,32
Aloe Blacc,32
BORCREW,32
Alex Zurdo,32
VFM Style,32
Kid 'N Play,32
Noriel,32
Carlos Herrera Music,32
Bonez MC,32
Information Society,32
Big Boi,32
Bryant Myers,32
Mike Gudmann,32
Agonoize,32
Kirk Franklin,32
T. Rex,32
Julieta Venegas,32
Bea Miller,32
Missy Elliott,32
MC Caverinha,32
Xscape,32
J Dilla,32
James Brown,32
Groove Theory,32
Türküm,32
QUIX,32
Shanice,32
Porter Robinson,32
Youngbloodz,32
Alle Farben,32
Jacob Tillberg,32
South Circle,32
Paris Blohm,32
Bill Withers,32
Hector & Tito,32
The Swing Bot,32
Tinie Tempah,32
Pretty Lights,32
Tomoko Aran,32
Pat Benatar,32
Toby Green,32
Aero Chord,32
Raekwon,32
Pixies,31
Hallman,31
Tamar Braxton,31
The Cleverlys,31
Blues Saraceno,31
TRFN,31
Løyd,31
Bubba Sparxxx,31
ATYPISK,31
Miami Bass Tracks,31
Kehlani,31
Kelly Price,31
Blue Wednesday,31
Vengaboys,31
Contiez,31
Ufo361,31
In Flames,31
Robbie Williams,31
Soul II Soul,31
Stepz,31
Martin Solveig,31
Dermot Kennedy,31
Hiatus Kaiyote,31
Herve Pagez,31
Sidney Samson,31
Ministry,31
Aqua,31
Wings,31
Pharrell Williams,31
El Gran Combo De Puerto Rico,31
SNAP!,31
Damian Dame,31
LVNDSCAPE,31
Dye O,31
The Midnight,31
Zac Brown Band,31
Getter,31
Evanescence,31
Barney Artist,31
Brownside,31
Roxette,31
Above & Beyond,31
GAMPER & DADONI,31
Robert Glasper Experiment,31
Tvbuu,31
Estelle,31
filous,30
Diego & Victor Hugo,30
Carta,30
PJ Harvey,30
The Cratez,30
Greenish,30
Chico Rose,30
Spandau Ballet,30
VIZE,30
MR TOUT LE MONDE,30
Kizo,30
YBN Nahmir,30
Ski Mask The Slump God,30
Joyner Lucas,30
Carl Thomas,30
Ricardo Arjona,30
Hoobastank,30
Bomba Estéreo,30
Noah Neiman,30
Klischée,30
Eric B. & Rakim,30
Greyson Chance,30
James Blunt,30
Omar Cunningham,30
Ace of Base,30
Esperanza Spalding,30
The Neighbourhood,30
Tucka: King Of Swing,30
Oddisee,30
Beach House,30
The Mowgli's,30
Gloria Trevi,30
Casper Magico,30
Ghostofblu,30
Corinne Bailey Rae,30
Tony Succar,30
Too $hort,30
CHVRCHES,30
Nick Cave & The Bad Seeds,30
Rockie Fresh,30
Garbage,30
The Score,30
The Pussycat Dolls,30
Ram Jam,30
Iggy Azalea,30
Adventure Club,30
Redhead Kingpin,30
Austin Mahone,30
C-Murder,30
Pouya,30
Busta Rhymes,30
FISHER,30
Another Bad Creation,30
Patti Smith,30
George Michael,30
Emmit Fenn,30
Danny Brown,30
Krewella,30
Matuê,30
Desconhecido,30
High School Musical Cast,30
Lighter Shade Of Brown,30
BJ The Chicago Kid,30
State of Sound,30
Rivermaya,30
Common,30
Haze & Mellow,29
Riton,29
Big Moe,29
J.R.,29
Firefall,29
Electric Guest,29
Tom Swoon,29
Tim Berg,29
Mr. Polska,29
Danilo Parra,29
Taio Cruz,29
Black Moon,29
Meno Tody,29
Klangkarussell,29
Ecko,29
Simaga,29
The Alan Parsons Project,29
Rich Gang,29
Chris Mazuera,29
Lucho SSJ,29
Jaymes Young,29
Atlas Genius,29
SaberZ,29
FSK SATELLITE,29
MAGIC!,29
Foghat,29
Cali Life Style,29
Ruel,29
DJ Magic Mike,29
Fredro Starr,29
Creed,29
Jamiroquai,29
Lupe Fiasco,29
Leela James,29
Carpenter Brut,29
Sting,29
Wallaby,29
Icona Pop,29
The RH Factor,29
Audax,29
Deeparture,29
Jessie Reyez,29
Miky Woodz,29
Eiffel 65,29
Bamboo,29
Malow Mac,29
Robert Palmer,29
Marillion,29
Marilyn Manson,29
Hot Boys,29
Amel Larrieux,29
Alphaville,29
Rich The Kid,29
Noname,29
Phoenix,29
Merdan D,29
The Cardigans,29
Crossfade,29
Laura Tain,29
Horace Brown,29
Lil Dicky,29
Majid Jordan,29
Lindsey Stirling,29
Elli Ingram,29
Chester Nebro,29
Ella Vos,29
Joe Public,29
Ymori,29
Izi,29
Green Assassin Dollar,29
Sunnery James & Ryan Marciano,29
D-Rashid,28
goosetaf,28
Dubdogz,28
Fivio Foreign,28
Paolo Nutini,28
Birdy,28
Deine Lakaien,28
Gian Marco,28
Giaime,28
Ghostface Killah,28
Cali Y El Dandee,28
Max Lean,28
Monsta X,28
Tape Five,28
Be Vis,28
Proleter,28
Big Tymers,28
Loote,28
Merk & Kremont,28
Staind,28
St. Lucia,28
Dijon,28
Costa Gold,28
Gotye,28
Leozin,28
Matt and Kim,28
Gym Class Heroes,28
Willie Colón,28
William Black,28
Chris Stapleton,28
Elderbrook,28
Wave Wave,28
Mike Moonnight,28
Mura Masa,28
STARSET,28
Fabian Mazur,28
Chance the Rapper,28
Drax Project,28
Maniaxo,28
Olympis,28
Public Enemy,28
Eva Simons,28
Two Door Cinema Club,28
Lostboycrow,28
Granuja,28
Jhay Cortez,28
