artist,like,play,skip,engagement_rate,skip_rate
Art Aguilera,3,3,1,1.0,0.3333333333333333
The Outset,5,5,0,1.0,0.0
Kazam,3,3,0,1.0,0.0
БРАТУБРАТ,3,3,3,1.0,1.0
F$O Dinero,1,1,0,1.0,0.0
Falling Decibyls,3,3,1,1.0,0.3333333333333333
Hiroomi Tosaka,3,3,1,1.0,0.3333333333333333
Silver,3,3,1,1.0,0.3333333333333333
Unida,2,2,1,1.0,0.5
Luigi e Leandro,4,4,0,1.0,0.0
Gavlyn,2,2,1,1.0,0.5
Glee Cast,1,1,0,1.0,0.0
Sailors,2,2,0,1.0,0.0
Gigamesh,5,5,0,1.0,0.0
Georgia Anne Muldrow,4,4,0,1.0,0.0
Tuff London,3,3,0,1.0,0.0
11:11,2,2,2,1.0,1.0
DARKMINDS,2,2,2,1.0,1.0
Tubeway Army,2,2,1,1.0,0.5
Adrian Emile,1,1,1,1.0,1.0
Samantha Machado,1,1,1,1.0,1.0
MALIA,2,2,1,1.0,0.5
Hunter Hayes,3,3,1,1.0,0.3333333333333333
Finesse,3,3,2,1.0,0.6666666666666666
Fernando García Baró,2,2,0,1.0,0.0
Roostz,2,2,1,1.0,0.5
Flesh For Lulu,2,2,2,1.0,1.0
Adam De Great,1,1,0,1.0,0.0
Ryn Weaver,4,4,2,1.0,0.5
Iron Horse,3,3,1,1.0,0.3333333333333333
Alfonzo Hunter,2,2,0,1.0,0.0
R3SPAWN,1,1,2,1.0,2.0
Stereo Jane,2,2,0,1.0,0.0
Cesare Cremonini,1,0,0,1.0,0.0
Joe Zangie,2,2,3,1.0,1.5
Bad Seed Rising,3,3,1,1.0,0.3333333333333333
Zebra,2,2,0,1.0,0.0
Rexx Life Raj,1,1,1,1.0,1.0
Ngozi Family,6,7,1,0.8571428571428571,0.14285714285714285
Sr Pablo,5,6,1,0.8333333333333334,0.16666666666666666
Jack Holiday,4,5,0,0.8,0.0
Chris Thile,4,5,0,0.8,0.0
LCD Soundsystem,4,5,0,0.8,0.0
Gippy Grewal,4,5,0,0.8,0.0
空音,4,5,1,0.8,0.2
COUNTERFEIT.,4,5,1,0.8,0.2
Bauhaus,4,5,0,0.8,0.0
Miki J,4,5,1,0.8,0.2
Yukihiro Takahashi,3,4,0,0.75,0.0
Bodybangers,3,4,0,0.75,0.0
Myka 9,3,4,0,0.75,0.0
Bryan Ferry,3,4,0,0.75,0.0
Rops1,3,4,0,0.75,0.0
Crisp Nibblets,3,4,1,0.75,0.25
Randy Nota Loka,3,4,0,0.75,0.0
SHINee,3,4,1,0.75,0.25
Natalie Perez,3,4,0,0.75,0.0
Chelsea Lankes,3,4,1,0.75,0.25
Olivier C,3,4,0,0.75,0.0
Kriss Reeve,3,4,1,0.75,0.25
Yarah Bravo,3,4,0,0.75,0.0
Yuri,3,4,1,0.75,0.25
A Great Big World,3,4,0,0.75,0.0
Ninjula,3,4,0,0.75,0.0
The Lady Of Rage,3,4,2,0.75,0.5
Tara Kemp,3,4,1,0.75,0.25
Chris Lawyer,3,4,0,0.75,0.0
Wo Fat,3,4,1,0.75,0.25
TEC,3,4,2,0.75,0.5
Kaam Bhaari,6,8,1,0.75,0.125
Gusi & Beto,3,4,1,0.75,0.25
Stoltenhoff,3,4,0,0.75,0.0
Malharo,3,4,0,0.75,0.0
Dubfire,3,4,1,0.75,0.25
Styles P,3,4,2,0.75,0.5
69 Boyz,5,7,1,0.7142857142857143,0.14285714285714285
Syleena Johnson,2,3,0,0.6666666666666666,0.0
Marcianos Crew,2,3,0,0.6666666666666666,0.0
Phil Campbell,4,6,1,0.6666666666666666,0.16666666666666666
Parts Per Million,2,3,0,0.6666666666666666,0.0
Diamond D,2,3,1,0.6666666666666666,0.3333333333333333
KRMA,2,3,1,0.6666666666666666,0.3333333333333333
Dana Kelson,2,3,2,0.6666666666666666,0.6666666666666666
Damaco,2,3,1,0.6666666666666666,0.3333333333333333
Nonpoint,4,6,4,0.6666666666666666,0.6666666666666666
Danrell,2,3,2,0.6666666666666666,0.6666666666666666
Yelsid,2,3,0,0.6666666666666666,0.0
La Zowi,4,6,1,0.6666666666666666,0.16666666666666666
Offspin,2,3,1,0.6666666666666666,0.3333333333333333
August Alsina,2,3,1,0.6666666666666666,0.3333333333333333
Jutes,4,6,0,0.6666666666666666,0.0
Perera DJ,2,3,0,0.6666666666666666,0.0
Dreicon,2,3,2,0.6666666666666666,0.6666666666666666
Summer Heart,2,3,1,0.6666666666666666,0.3333333333333333
"Dimitri Vegas, Moguai & Like Mike",2,3,3,0.6666666666666666,1.0
Then Came Monsters,2,3,1,0.6666666666666666,0.3333333333333333
Zayde Wølf,2,3,1,0.6666666666666666,0.3333333333333333
Jewelz,2,3,1,0.6666666666666666,0.3333333333333333
Jeremy Shayne,2,3,1,0.6666666666666666,0.3333333333333333
Banda Zeta,4,6,0,0.6666666666666666,0.0
Wett Brain,2,3,0,0.6666666666666666,0.0
Thirdstory,4,6,0,0.6666666666666666,0.0
IDK,2,3,1,0.6666666666666666,0.3333333333333333
Cappa,2,3,1,0.6666666666666666,0.3333333333333333
Biff Byford,2,3,1,0.6666666666666666,0.3333333333333333
Bia Ferreira,2,3,0,0.6666666666666666,0.0
Jairus Mozee,2,3,1,0.6666666666666666,0.3333333333333333
Timmy T,4,6,4,0.6666666666666666,0.6666666666666666
Vilamarea,2,3,1,0.6666666666666666,0.3333333333333333
Liv Young,4,6,0,0.6666666666666666,0.0
Stonefox,2,3,3,0.6666666666666666,1.0
Polimá Westcoast,4,6,1,0.6666666666666666,0.16666666666666666
Eat More Cake,2,3,1,0.6666666666666666,0.3333333333333333
Héctor Lavoe,2,3,0,0.6666666666666666,0.0
Hurshel,2,3,1,0.6666666666666666,0.3333333333333333
Aitor Blond,2,3,0,0.6666666666666666,0.0
Five Revolutions,2,3,1,0.6666666666666666,0.3333333333333333
Love Taps,2,3,1,0.6666666666666666,0.3333333333333333
Frank Pierce,2,3,0,0.6666666666666666,0.0
Hand Habits,2,3,0,0.6666666666666666,0.0
HBz,2,3,2,0.6666666666666666,0.6666666666666666
Lreds,2,3,1,0.6666666666666666,0.3333333333333333
Ricky Bernard,4,6,0,0.6666666666666666,0.0
Velvet Revolver,4,6,1,0.6666666666666666,0.16666666666666666
SafetySuit,2,3,0,0.6666666666666666,0.0
Brittany Howard,4,6,0,0.6666666666666666,0.0
Mr. Vegas,2,3,1,0.6666666666666666,0.3333333333333333
Matt Terry,2,3,0,0.6666666666666666,0.0
Kxa,2,3,1,0.6666666666666666,0.3333333333333333
Kydus,2,3,1,0.6666666666666666,0.3333333333333333
Crashdïet,2,3,0,0.6666666666666666,0.0
The Icicle Works,2,3,3,0.6666666666666666,1.0
D.J. Rogers,2,3,2,0.6666666666666666,0.6666666666666666
The Dø,4,6,0,0.6666666666666666,0.0
Maria Gadú,5,8,1,0.625,0.125
Beenie Man,8,13,0,0.6153846153846154,0.0
Brian Bromberg,3,5,1,0.6,0.2
Dominic Candela,3,5,2,0.6,0.4
Traveling Wilburys,3,5,1,0.6,0.2
Zekl,3,5,1,0.6,0.2
Michael Kraun,3,5,0,0.6,0.0
Common Vision,3,5,0,0.6,0.0
Kase.O,3,5,1,0.6,0.2
Player,3,5,2,0.6,0.4
Funi,3,5,0,0.6,0.0
Michael Woods,3,5,0,0.6,0.0
Plastilina Mosh,3,5,0,0.6,0.0
Judah Banke,3,5,0,0.6,0.0
FÄIS,6,10,2,0.6,0.2
Daffy Muffin,3,5,0,0.6,0.0
Gianluca Vacchi,3,5,0,0.6,0.0
Pixie Lott,3,5,1,0.6,0.2
B Mus,3,5,0,0.6,0.0
Code Orange,3,5,0,0.6,0.0
Skipp Whitman,3,5,0,0.6,0.0
Alma Madre,3,5,0,0.6,0.0
girl in red,3,5,4,0.6,0.8
Eylie,3,5,2,0.6,0.4
Itadi,3,5,1,0.6,0.2
Block B,3,5,3,0.6,0.6
convolk,3,5,1,0.6,0.2
Gear,3,5,4,0.6,0.8
Threshold,3,5,0,0.6,0.0
Lil Wyte,3,5,2,0.6,0.4
El-P,3,5,0,0.6,0.0
Jeeiph,3,5,1,0.6,0.2
Nekta,3,5,0,0.6,0.0
What So Not,3,5,3,0.6,0.6
Allegra,3,5,0,0.6,0.0
Miles Away,3,5,0,0.6,0.0
Miles Dominic,3,5,0,0.6,0.0
Kevitch,3,5,1,0.6,0.2
April,3,5,1,0.6,0.2
Lucas Muto,3,5,1,0.6,0.2
Ben Zaidi,3,5,0,0.6,0.0
Ixzo,3,5,1,0.6,0.2
Bertie Higgins,3,5,0,0.6,0.0
Theodis Ealey,3,5,3,0.6,0.6
Anna Clendening,3,5,1,0.6,0.2
Hurricane Chris,3,5,1,0.6,0.2
Audible Mainframe,3,5,1,0.6,0.2
N'Klabe,4,7,4,0.5714285714285714,0.5714285714285714
Moods,4,7,2,0.5714285714285714,0.2857142857142857
Jozzy,4,7,1,0.5714285714285714,0.14285714285714285
9 Gramm,4,7,3,0.5714285714285714,0.42857142857142855
BENNIK,4,7,1,0.5714285714285714,0.14285714285714285
Ale Aguirre,4,7,1,0.5714285714285714,0.14285714285714285
Poco,4,7,1,0.5714285714285714,0.14285714285714285
Antonio Cooke,4,7,0,0.5714285714285714,0.0
Nathan Britton,4,7,0,0.5714285714285714,0.0
Ben Henchman,4,7,0,0.5714285714285714,0.0
Anderson East,4,7,1,0.5714285714285714,0.14285714285714285
The Clash,8,14,3,0.5714285714285714,0.21428571428571427
Covenant,4,7,0,0.5714285714285714,0.0
Sick Jacken,4,7,1,0.5714285714285714,0.14285714285714285
Bun B,5,9,2,0.5555555555555556,0.2222222222222222
From Inside,5,9,4,0.5555555555555556,0.4444444444444444
Urban Rescue,6,11,3,0.5454545454545454,0.2727272727272727
Art Of Dying,6,11,3,0.5454545454545454,0.2727272727272727
Basic Black,8,15,3,0.5333333333333333,0.2
JoJo,2,4,0,0.5,0.0
The Wind and The Wave,1,2,2,0.5,1.0
Ofege,2,4,1,0.5,0.25
The Atomic Bitchwax,2,4,0,0.5,0.0
Stitched Up Heart,2,4,1,0.5,0.25
Mambo Brothers,2,4,1,0.5,0.25
Manel Navarro,1,2,0,0.5,0.0
ALAWIE,3,6,2,0.5,0.3333333333333333
Corina Smith,2,4,0,0.5,0.0
Cornelius Brothers & Sister Rose,2,4,0,0.5,0.0
(dc),3,6,0,0.5,0.0
Them Two,2,4,0,0.5,0.0
ÄTNA,2,4,0,0.5,0.0
E.U.,3,6,1,0.5,0.16666666666666666
Kranium,3,6,2,0.5,0.3333333333333333
Omar Montes,2,4,2,0.5,0.5
Baby Ranks,2,4,1,0.5,0.25
Alison Krauss,2,4,1,0.5,0.25
Kishi Bashi,3,6,1,0.5,0.16666666666666666
Ookay,4,8,2,0.5,0.25
EADWINE,2,4,0,0.5,0.0
Nexus Dj,2,4,0,0.5,0.0
Lil Mexico,2,4,1,0.5,0.25
Sandra Stephens,2,4,1,0.5,0.25
who.am.i,1,2,0,0.5,0.0
Jay Hill,3,6,0,0.5,0.0
Cultivo,2,4,0,0.5,0.0
Jay Fox,1,2,0,0.5,0.0
Young Eiby,2,4,0,0.5,0.0
Jeff Retro,2,4,1,0.5,0.25
Pure Pleasure,1,2,4,0.5,2.0
Jody Breeze,3,6,2,0.5,0.3333333333333333
Jigg,1,2,1,0.5,0.5
Lifehouse,2,4,2,0.5,0.5
Andrew Ripp,3,6,1,0.5,0.16666666666666666
Alice DJ,4,8,1,0.5,0.125
Ali Payami,1,2,2,0.5,1.0
Ali Bumaye,2,4,0,0.5,0.0
Nuttin' Nyce,1,2,1,0.5,0.5
Lil C,1,2,0,0.5,0.0
Jimmy Bad Boy,2,4,1,0.5,0.25
PrimaSol,2,4,0,0.5,0.0
LEVV,3,6,1,0.5,0.16666666666666666
Priya Ragu,2,4,0,0.5,0.0
Chris Jeday,3,6,1,0.5,0.16666666666666666
Papooz,4,8,2,0.5,0.25
Swagger Rite,3,6,2,0.5,0.3333333333333333
Donny Duardo,3,6,1,0.5,0.16666666666666666
SuperM,3,6,1,0.5,0.16666666666666666
No Spirit,3,6,0,0.5,0.0
Within Shadows,3,6,1,0.5,0.16666666666666666
Lee Brice,2,4,0,0.5,0.0
Peebs The Prophet,2,4,2,0.5,0.5
Jøase,2,4,1,0.5,0.25
Dance Yourself Clean,2,4,1,0.5,0.25
Audio Storm,2,4,2,0.5,0.5
TELYKast,2,4,1,0.5,0.25
Digital Chorus,2,4,2,0.5,0.5
Paul Kold,1,2,0,0.5,0.0
THRML,3,6,1,0.5,0.16666666666666666
AtellaGali,2,4,1,0.5,0.25
Patternist,1,2,0,0.5,0.0
Deee-Lite,2,4,2,0.5,0.5
Chymes,1,2,2,0.5,1.0
Marla Singer,2,4,1,0.5,0.25
Desaparecidos,1,2,0,0.5,0.0
Karen Harding,1,2,0,0.5,0.0
Damion,2,4,1,0.5,0.25
Damso,1,2,0,0.5,0.0
Planet Perfecto Knights,2,4,0,0.5,0.0
Thc,3,6,1,0.5,0.16666666666666666
Dallas,2,4,2,0.5,0.5
Meiji,2,4,1,0.5,0.25
Wilson Meadows,3,6,2,0.5,0.3333333333333333
Clutch,4,8,3,0.5,0.375
Cody Lovaas,2,4,0,0.5,0.0
Joseito Fernández,2,4,1,0.5,0.25
Papo La Chercha,3,6,2,0.5,0.3333333333333333
Men Without Hats,2,4,0,0.5,0.0
Martin Vide,1,2,0,0.5,0.0
Teena Marie,2,4,0,0.5,0.0
Joven BTZ,2,4,0,0.5,0.0
Az Yet,2,4,1,0.5,0.25
Xavier White,2,4,1,0.5,0.25
Pacific,3,6,1,0.5,0.16666666666666666
Pharoahe Monch,2,4,1,0.5,0.25
Kavabanga Depo Kolibri,3,6,0,0.5,0.0
Chriss Oz,2,4,3,0.5,0.75
Kayzo,2,4,0,0.5,0.0
Josefine,1,2,1,0.5,0.5
Gordon,2,4,0,0.5,0.0
Graham Bell,4,8,0,0.5,0.0
Boomo,2,4,1,0.5,0.25
"Grover Washington, Jr.",3,6,1,0.5,0.16666666666666666
Flamma,3,6,1,0.5,0.16666666666666666
COMPUTER DATA,2,4,0,0.5,0.0
CLAY,1,2,1,0.5,0.5
Florin Gindu,3,6,1,0.5,0.16666666666666666
MED,3,6,1,0.5,0.16666666666666666
MGM,1,2,1,0.5,0.5
MFakka,4,8,0,0.5,0.0
Flylitegemini,3,6,0,0.5,0.0
Sharam featuring Daniel Bedingfield,2,4,0,0.5,0.0
Sez on the Beat,2,4,1,0.5,0.25
Lü,2,4,0,0.5,0.0
Handsome Ghost,6,12,2,0.5,0.16666666666666666
Hard Rain London,2,4,0,0.5,0.0
VARGENTA,3,6,2,0.5,0.3333333333333333
SinceWhen,2,4,0,0.5,0.0
Simón Campusano,1,2,3,0.5,1.5
Federico Franchi,2,4,1,0.5,0.25
Able Faces,2,4,0,0.5,0.0
MNEK,3,6,1,0.5,0.16666666666666666
Simi,3,6,3,0.5,0.5
Tomsize,2,4,1,0.5,0.25
Tony C,2,4,1,0.5,0.25
Fiona Apple,1,2,0,0.5,0.0
Herb Barclay,3,6,0,0.5,0.0
Louis Futon,2,4,2,0.5,0.5
Gxx,1,2,0,0.5,0.0
The Cab,2,4,0,0.5,0.0
DJ Ehkir,2,4,1,0.5,0.25
Coro,3,6,1,0.5,0.16666666666666666
Day Felice,2,4,0,0.5,0.0
Mr Jukes,1,2,1,0.5,0.5
Matt Rysen,2,4,2,0.5,0.5
Clika 1,3,6,0,0.5,0.0
Deborah Cox,3,6,2,0.5,0.3333333333333333
Noise Cans,2,4,0,0.5,0.0
Noel Schajris,2,4,1,0.5,0.25
Noah Guthrie,3,6,4,0.5,0.6666666666666666
Kevin Ross,3,6,1,0.5,0.16666666666666666
P.R.O.,1,2,0,0.5,0.0
Aphex Twin,2,4,1,0.5,0.25
Glen Campbell,3,6,0,0.5,0.0
Da Tweekaz,1,2,2,0.5,1.0
Melodiesinfonie,2,4,0,0.5,0.0
600 Breezy,3,6,0,0.5,0.0
Mothica,2,4,2,0.5,0.5
Sami,1,2,0,0.5,0.0
Salty Dog,4,8,0,0.5,0.0
Burningfields,2,4,1,0.5,0.25
Sean&Bobo,3,6,1,0.5,0.16666666666666666
Fresku,2,4,0,0.5,0.0
MANI NBISH,1,2,1,0.5,0.5
Adam Marano,2,4,6,0.5,1.5
Buena Vista Social Club,2,4,2,0.5,0.5
Trellion,2,4,0,0.5,0.0
Sara Bareilles,2,4,1,0.5,0.25
Métricas Frías,3,6,1,0.5,0.16666666666666666
Oro Solido,2,4,1,0.5,0.25
Vinny Vibe,2,4,0,0.5,0.0
VillaBanks,2,4,0,0.5,0.0
Berhana,4,8,1,0.5,0.125
J. Roosevelt,1,2,1,0.5,0.5
Emassin,2,4,1,0.5,0.25
Magic City Hippies,3,6,0,0.5,0.0
Milwin,2,4,1,0.5,0.25
heartbreaker,2,4,1,0.5,0.25
Timmo Hendriks,1,2,3,0.5,1.5
Cassie,1,2,0,0.5,0.0
Sonia Stein,3,6,1,0.5,0.16666666666666666
Soapdish,2,4,1,0.5,0.25
Tobi,3,6,2,0.5,0.3333333333333333
Raphaël,3,6,1,0.5,0.16666666666666666
Hey Violet,2,4,1,0.5,0.25
Belinda Carlisle,4,8,0,0.5,0.0
Jacques Renault,1,2,2,0.5,1.0
VÂN SCOTT,2,4,1,0.5,0.25
Jakob Ogawa,2,4,1,0.5,0.25
REZarin,2,4,0,0.5,0.0
Jarod,2,4,1,0.5,0.25
Mike L,1,2,2,0.5,1.0
Edward Sizzerhand,3,6,1,0.5,0.16666666666666666
Steal The City,2,4,0,0.5,0.0
Eko Zu,1,2,2,0.5,1.0
El Simbolo,1,2,2,0.5,1.0
Tiacca,3,6,1,0.5,0.16666666666666666
Charlene Soraia,2,4,1,0.5,0.25
Neztor mvl,3,6,0,0.5,0.0
JIGGO,3,6,1,0.5,0.16666666666666666
Blanks,2,4,0,0.5,0.0
Vendredi,1,2,2,0.5,1.0
Black Pumas,2,4,0,0.5,0.0
Huez,1,2,0,0.5,0.0
HÆLOS,3,6,1,0.5,0.16666666666666666
Riff Kitten,2,4,2,0.5,0.5
Alan Zachary,1,2,0,0.5,0.0
Los Delinquentes,1,2,2,0.5,1.0
Vieja Trova Santiaguera,2,4,0,0.5,0.0
IOLITE,2,4,0,0.5,0.0
Idris Elba,4,8,1,0.5,0.125
Big Matt,2,4,0,0.5,0.0
Big Gigantic,2,4,1,0.5,0.25
Rence,1,2,0,0.5,0.0
Aldair Silva,3,6,1,0.5,0.16666666666666666
Tom Crusher,2,4,0,0.5,0.0
Molella,2,4,0,0.5,0.0
Cards,2,4,0,0.5,0.0
Captain Jack,1,2,2,0.5,1.0
Skogsrå,2,4,0,0.5,0.0
Camur,3,6,0,0.5,0.0
Big Dope P,3,6,0,0.5,0.0
Reggaeton Latino,2,4,2,0.5,0.5
Alejo Park,2,4,1,0.5,0.25
Natalia Lacunza,1,2,1,0.5,0.5
Naomi Scott,2,4,0,0.5,0.0
Real Life,2,4,1,0.5,0.25
Bex,2,4,0,0.5,0.0
Beteo,2,4,2,0.5,0.5
Neil Diamond,3,6,1,0.5,0.16666666666666666
Exile,1,2,1,0.5,0.5
Flipp Dinero,9,19,4,0.47368421052631576,0.21052631578947367
Zendaya,7,15,4,0.4666666666666667,0.26666666666666666
Redimi2,6,13,2,0.46153846153846156,0.15384615384615385
James Taylor,6,13,4,0.46153846153846156,0.3076923076923077
Chrisette Michele,5,11,0,0.45454545454545453,0.0
Linying,5,11,4,0.45454545454545453,0.36363636363636365
Sum Wave,5,11,3,0.45454545454545453,0.2727272727272727
Badpojken,5,11,2,0.45454545454545453,0.18181818181818182
Baltimora,5,11,0,0.45454545454545453,0.0
Darude,5,11,2,0.45454545454545453,0.18181818181818182
Cashmere Cat,5,11,1,0.45454545454545453,0.09090909090909091
Mokita,5,11,1,0.45454545454545453,0.09090909090909091
Manolito Simonet y su Trabuco,5,11,4,0.45454545454545453,0.36363636363636365
Aaryn Doyle,5,11,1,0.45454545454545453,0.09090909090909091
Hermitude,5,11,0,0.45454545454545453,0.0
Pelé MilFlows,5,11,3,0.45454545454545453,0.2727272727272727
Her,4,9,2,0.4444444444444444,0.2222222222222222
Kyzer,4,9,4,0.4444444444444444,0.4444444444444444
Mr Absolutt,4,9,0,0.4444444444444444,0.0
The FifthGuys,8,18,7,0.4444444444444444,0.3888888888888889
Tiwa Savage,4,9,0,0.4444444444444444,0.0
Norma Jean Martine,4,9,0,0.4444444444444444,0.0
Almighty,7,16,2,0.4375,0.125
Kensington,3,7,0,0.42857142857142855,0.0
Mibbs,3,7,0,0.42857142857142855,0.0
Saybia,3,7,1,0.42857142857142855,0.14285714285714285
Moonlight Social,3,7,1,0.42857142857142855,0.14285714285714285
IZ*ONE,3,7,1,0.42857142857142855,0.14285714285714285
Scriss,3,7,0,0.42857142857142855,0.0
Yogi,3,7,3,0.42857142857142855,0.42857142857142855
Kris Kross,3,7,0,0.42857142857142855,0.0
The Band Royale,3,7,2,0.42857142857142855,0.2857142857142857
Madam Misfit,3,7,1,0.42857142857142855,0.14285714285714285
Baani Sandhu,3,7,1,0.42857142857142855,0.14285714285714285
AWOLNATION,3,7,1,0.42857142857142855,0.14285714285714285
Keala Settle,3,7,2,0.42857142857142855,0.2857142857142857
RIKA,3,7,1,0.42857142857142855,0.14285714285714285
Simon Loof,3,7,1,0.42857142857142855,0.14285714285714285
Ivy Adara,3,7,2,0.42857142857142855,0.2857142857142857
Dinosaur Pile-Up,3,7,0,0.42857142857142855,0.0
Christopher,3,7,0,0.42857142857142855,0.0
FloFilz,3,7,0,0.42857142857142855,0.0
DLG.,3,7,0,0.42857142857142855,0.0
Angel Grant,3,7,0,0.42857142857142855,0.0
Cobi,3,7,1,0.42857142857142855,0.14285714285714285
O.V. Wright,3,7,1,0.42857142857142855,0.14285714285714285
Heads²,3,7,1,0.42857142857142855,0.14285714285714285
Kris Wu,3,7,0,0.42857142857142855,0.0
Danny Brasco,3,7,1,0.42857142857142855,0.14285714285714285
Lucian,3,7,0,0.42857142857142855,0.0
Righeira,3,7,1,0.42857142857142855,0.14285714285714285
Late Night Legacy,3,7,1,0.42857142857142855,0.14285714285714285
Japan,3,7,1,0.42857142857142855,0.14285714285714285
ROOKIES,3,7,0,0.42857142857142855,0.0
Calvin Richardson,3,7,2,0.42857142857142855,0.2857142857142857
Jahzel Dotel,3,7,1,0.42857142857142855,0.14285714285714285
Sleeping At Last,3,7,0,0.42857142857142855,0.0
Falco,6,14,3,0.42857142857142855,0.21428571428571427
Paula Cendejas,3,7,4,0.42857142857142855,0.5714285714285714
Joe Bataan,3,7,1,0.42857142857142855,0.14285714285714285
Esko,3,7,2,0.42857142857142855,0.2857142857142857
Portugal. The Man,9,21,4,0.42857142857142855,0.19047619047619047
KAMILLE,3,7,1,0.42857142857142855,0.14285714285714285
Captain Beefheart & His Magic Band,3,7,0,0.42857142857142855,0.0
Dzeko,3,7,1,0.42857142857142855,0.14285714285714285
Molotov,6,14,4,0.42857142857142855,0.2857142857142857
Thegiornalisti,3,7,2,0.42857142857142855,0.2857142857142857
Zanto,3,7,1,0.42857142857142855,0.14285714285714285
Magnum,3,7,2,0.42857142857142855,0.2857142857142857
Mathew,3,7,1,0.42857142857142855,0.14285714285714285
Thought Gang,3,7,1,0.42857142857142855,0.14285714285714285
Crudo Means Raw,3,7,1,0.42857142857142855,0.14285714285714285
18 Kilates,3,7,1,0.42857142857142855,0.14285714285714285
Cosmic Gate,3,7,1,0.42857142857142855,0.14285714285714285
toast,3,7,0,0.42857142857142855,0.0
Zacari,3,7,0,0.42857142857142855,0.0
BOBBY,3,7,0,0.42857142857142855,0.0
Willie Nelson,3,7,0,0.42857142857142855,0.0
Wilfrido Vargas,3,7,0,0.42857142857142855,0.0
Polyna,3,7,0,0.42857142857142855,0.0
Pandrezz,8,19,2,0.42105263157894735,0.10526315789473684
Lauren Sanderson,5,12,3,0.4166666666666667,0.25
Peter Frampton,5,12,3,0.4166666666666667,0.25
Long Hollow Wave,5,12,5,0.4166666666666667,0.4166666666666667
Rockell,5,12,1,0.4166666666666667,0.08333333333333333
Rakim,5,12,1,0.4166666666666667,0.08333333333333333
Twelve24,5,12,3,0.4166666666666667,0.25
Florence Black,5,12,4,0.4166666666666667,0.3333333333333333
Selena,7,17,2,0.4117647058823529,0.11764705882352941
Kon Kan,2,5,4,0.4,0.8
My Ugly Clementine,2,5,1,0.4,0.2
Gramm Thomas,2,5,0,0.4,0.0
Gnarls Barkley,2,5,0,0.4,0.0
Goapele,2,5,0,0.4,0.0
Tanya Montana Coe,2,5,1,0.4,0.2
Kretsen,2,5,0,0.4,0.0
Konshens,2,5,0,0.4,0.0
Kodigo,2,5,2,0.4,0.4
Taylor Gang,2,5,1,0.4,0.2
Sagan,2,5,0,0.4,0.0
Huncho Jack,4,10,3,0.4,0.3
Hugh Masekela,2,5,1,0.4,0.2
Luca Debonaire,2,5,1,0.4,0.2
Robert Glasper,2,5,1,0.4,0.2
Vanessa Williams,2,5,0,0.4,0.0
Akane Hatanaka,2,5,1,0.4,0.2
O.T. Genasis,8,20,3,0.4,0.15
Max Fail,4,10,0,0.4,0.0
911headcase,2,5,2,0.4,0.4
Memphis Bleek,2,5,1,0.4,0.2
Aimee Mann,2,5,1,0.4,0.2
